fecha,marca,zona,tipo_cristal,precio_ipc
2024-03-01,FORD,Rosario,Custodia/Coleta,63238.76113789213
2024-03-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,122397.60222618218
2024-03-01,PEUGEOT,CABA,Custodia/Coleta,113326.5005741306
2024-03-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,106850.70054132315
2024-03-01,PEUGEOT,Rosario,Custodia/Coleta,100374.90048898949
2024-03-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,194274.0009842239
2024-03-01,RENAULT,CABA,Custodia/Coleta,162275.09530659267
2024-03-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,153002.23271764454
2024-03-01,RENAULT,Rosario,Custodia/Coleta,143729.37010073633
2024-03-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,278185.8776684446
2024-03-01,TOYOTA,CABA,Custodia/Coleta,216916.40336644705
2024-03-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,204521.1803169358
2024-03-01,TOYOTA,Rosario,Custodia/Coleta,192125.95723004977
2024-03-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,371856.69148533774
2024-03-01,VOLKSWAGEN,CABA,Custodia/Coleta,85165.12469694647
2024-03-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,80298.54614283524
2024-03-01,VOLKSWAGEN,Rosario,Custodia/Coleta,75431.96757405002
2024-03-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,145997.3566233368
2024-05-01,CHEVROLET,CABA,Custodia/Coleta,161287.01992617815
2024-05-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,152070.6187875394
2024-05-01,CHEVROLET,Rosario,Custodia/Coleta,142854.21766289836
2024-05-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,276492.0341591625
2024-05-01,FIAT,CABA,Custodia/Coleta,125467.01713544827
2024-05-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,118297.47329913697
2024-05-01,FIAT,Rosario,Custodia/Coleta,111127.92947371464
2024-05-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,215086.3150893399
2024-05-01,FORD,CABA,Custodia/Coleta,66292.25253910216
2024-05-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,62504.12382258204
2024-05-01,FORD,Rosario,Custodia/Coleta,58715.99511181527
2024-05-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,113643.86149560369
2024-05-01,PEUGEOT,CABA,Custodia/Coleta,104953.14047032475
2024-05-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,98955.81815773476
2024-05-01,PEUGEOT,Rosario,Custodia/Coleta,92958.49585425343
2024-05-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,179919.66937769955
2024-05-01,RENAULT,CABA,Custodia/Coleta,150768.45804524736
2024-05-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,142153.11758551895
2024-05-01,RENAULT,Rosario,Custodia/Coleta,133537.77713887536
2024-05-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,258460.2137918526
2024-05-01,TOYOTA,CABA,Custodia/Coleta,200889.0915849317
2024-05-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,189409.71492293567
2024-05-01,TOYOTA,Rosario,Custodia/Coleta,177930.33827837426
